,Company name,rounds,rate
5446,NetThings,5,0.59
5727,Neyber,3,0.81
5728,Neyber,4,0.47
5722,Neyber,5,0.33
5850,Oceanfoil,3,0.48
5851,Oceanfoil,4,0.61
5852,Oceanfoil,5,0.45
5853,Oxitec,3,1.0
5854,Oxitec,4,1.0
5855,Oxitec,5,1.0
6081,Payfont,3,1.0
6084,Payfont,4,0.69
6086,Payfont,5,0.64
6121,Pemberton Childcare,3,0.7
6123,Pemberton Childcare,4,0.73
6125,Pemberton Childcare,5,0.6
6245,Pizza Rossa,3,0.8
6246,Pizza Rossa,4,0.3
6254,Pizza Rossa,5,0.91
6268,PropTech Insights,3,1.0
6271,PropTech Insights,4,1.0
6274,PropTech Insights,5,0.4
6279,QuidCycle,3,1.0
6280,QuidCycle,4,1.0
6281,QuidCycle,5,0.5
6292,REG,3,1.0
6295,REG,4,1.0
6299,REG,5,1.0
6325,Regenesis Bioenergy,3,1.0
6326,Regenesis Bioenergy,4,0.88
6327,Regenesis Bioenergy,5,0.88
6352,SETL,3,1.0
6355,SETL,4,0.91
6356,SETL,5,0.42
6375,Scanimal Trackers,3,1.0
6377,Scanimal Trackers,4,0.29
6381,Scanimal Trackers,5,0.73
6391,Skyscanner,3,1.0
6392,Skyscanner,4,0.75
6393,Skyscanner,5,0.6
6466,Smart Antenna Technologies,3,0.87
6468,Smart Antenna Technologies,4,0.65
6471,Smart Antenna Technologies,5,0.54
6489,Soho Create,3,1.0
6492,Soho Create,4,1.0
6494,Soho Create,5,0.7
6508,Speed of Light Media,3,1.0
6509,Speed of Light Media,4,1.0
6510,Speed of Light Media,5,1.0
6690,Square Pie,3,0.8
6691,Square Pie,4,0.1
6710,Square Pie,5,0.56
6750,Subzero Lighting,3,0.75
6751,Subzero Lighting,4,0.5
6748,Subzero Lighting,5,0.25
6788,SwipeIn,3,0.6
6789,SwipeIn,4,1.0
6790,SwipeIn,5,0.64
6981,Tagstr,3,0.85
6994,Tagstr,4,1.0
6995,Tagstr,5,0.15
7027,TapFuse,3,0.67
7028,TapFuse,4,0.33
7029,TapFuse,5,0.6
7127,TenTel,3,1.0
7140,TenTel,4,0.95
7141,TenTel,5,0.95
7324,The Hook,3,0.53
7325,The Hook,4,0.4
7328,The Hook,5,0.66
7533,The Stable,3,1.0
7538,The Stable,4,0.95
7539,The Stable,5,0.14
7584,TyresOnTheDrive,3,0.58
7582,TyresOnTheDrive,4,0.54
7585,TyresOnTheDrive,5,0.31
7725,UK Bond Network,3,0.44
7726,UK Bond Network,4,0.53
7727,UK Bond Network,5,0.11
7760,Unified,3,1.0
7757,Unified,4,0.6
7758,Unified,5,1.0
7819,Upstream,3,0.25
7820,Upstream,4,0.5
7821,Upstream,5,0.46
7897,Vinoa,3,0.82
7898,Vinoa,4,0.13
7900,Vinoa,5,0.04
7906,Yapjobs,3,1.0
7908,Yapjobs,4,0.67
7913,Yapjobs,5,1.0
7974,Zone App,3,0.83
7975,Zone App,4,0.37
7976,Zone App,5,0.35
8054,ZuvaSyntha,3,0.25
8055,ZuvaSyntha,4,0.25
8056,ZuvaSyntha,5,0.15
8212,eMoov,3,1.0
8213,eMoov,4,0.32
8214,eMoov,5,0.81
8233,esa,3,0.8
8234,esa,4,0.8
8235,esa,5,0.33
8442,tootle,3,0.98
8443,tootle,4,0.05
8444,tootle,5,0.22
