name,year,rne
Illinois,2003,0.00252
Illinois,2004,0.00251
Illinois,2005,0.00254
Illinois,2006,0.00244
Illinois,2007,0.00216
Illinois,2008,0.00233
Illinois,2009,0.00247
Illinois,2010,0.00269
Illinois,2011,0.00233
Illinois,2012,0.00224
Illinois,2013,0.00203
Illinois,2014,0.00225
Illinois,2015,0.00225
Illinois,2016,0.00228
Illinois,2017,0.00237
Illinois,2018,0.00248
Illinois,2019,0.00269
Illinois,2020,0.00269
Indiana,1998,0.00239
Indiana,1999,0.0027
Indiana,2000,0.00301
Indiana,2001,0.00305
Indiana,2002,0.00256
Indiana,2003,0.00234
Indiana,2004,0.00225
Indiana,2005,0.00253
Indiana,2006,0.00263
Indiana,2007,0.00265
Indiana,2008,0.00253
Indiana,2009,0.00264
Indiana,2010,0.0025
Indiana,2011,0.00224
Indiana,2012,0.00218
Indiana,2013,0.00205
Indiana,2014,0.00229
Indiana,2015,0.00232
Indiana,2016,0.00223
Indiana,2017,0.00199
Indiana,2018,0.00207
Indiana,2019,0.00254
Indiana,2020,0.00249
Iowa,1998,0.004
Iowa,1999,0.00285
Iowa,2000,0.00305
Iowa,2001,0.00327
Iowa,2002,0.00296
Iowa,2003,0.00287
Iowa,2004,0.0026
Iowa,2005,0.00314
Iowa,2006,0.00295
Iowa,2007,0.00305
Iowa,2008,0.00258
Iowa,2009,0.00239
Iowa,2010,0.00244
Iowa,2011,0.00255
Iowa,2012,0.00249
Iowa,2013,0.00187
Iowa,2014,0.00178
Iowa,2015,0.0018
Iowa,2016,0.00201
Iowa,2017,0.00217
Iowa,2018,0.00276
Iowa,2019,0.00314
Iowa,2020,0.00313
Kansas,1998,0.00323
Kansas,1999,0.00277
Kansas,2000,0.0028
Kansas,2001,0.00279
Kansas,2002,0.00308
Kansas,2003,0.00292
Kansas,2004,0.00282
Kansas,2005,0.00248
Kansas,2006,0.00253
Kansas,2007,0.00238
Kansas,2008,0.00238
Kansas,2009,0.00242
Kansas,2010,0.00272
Kansas,2011,0.00286
Kansas,2012,0.00285
Kansas,2013,0.00229
Kansas,2014,0.00221
Kansas,2015,0.00273
Kansas,2016,0.003
Kansas,2017,0.003
Kansas,2018,0.0027
Kansas,2019,0.0027
Kansas,2020,0.00301
Kentucky,1998,0.00287
Kentucky,1999,0.00237
Kentucky,2000,0.00193
Kentucky,2001,0.00223
Kentucky,2002,0.00252
Kentucky,2003,0.00301
Kentucky,2004,0.00286
Kentucky,2005,0.00241
Kentucky,2006,0.00226
Kentucky,2007,0.00225
Kentucky,2008,0.00306
Kentucky,2009,0.00301
Kentucky,2010,0.00303
Kentucky,2011,0.00301
Kentucky,2012,0.00343
Kentucky,2013,0.00368
Kentucky,2014,0.00352
Kentucky,2015,0.00283
Kentucky,2016,0.00245
Kentucky,2017,0.00225
Kentucky,2018,0.00259
Kentucky,2019,0.00256
Kentucky,2020,0.0027
Louisiana,1998,0.00309
Louisiana,1999,0.00303
Louisiana,2000,0.00306
Louisiana,2001,0.00284
Louisiana,2002,0.00274
Louisiana,2003,0.00272
Louisiana,2004,0.00306
Louisiana,2005,0.00308
Louisiana,2006,0.00302
Louisiana,2007,0.00347
Louisiana,2008,0.00352
Louisiana,2009,0.00387
Louisiana,2010,0.00391
Louisiana,2011,0.0041
Louisiana,2012,0.00398
Louisiana,2013,0.00347
Louisiana,2014,0.00331
Louisiana,2015,0.00281
Louisiana,2016,0.00275
Louisiana,2017,0.00312
Louisiana,2018,0.00343
Louisiana,2019,0.00355
Louisiana,2020,0.00367
Maine,1998,0.00388
Maine,1999,0.00357
Maine,2000,0.00366
Maine,2001,0.00309
Maine,2002,0.0029
Maine,2003,0.00267
Maine,2004,0.00301
Maine,2005,0.00334
Maine,2006,0.00389
Maine,2007,0.00357
Maine,2008,0.00356
Maine,2009,0.00329
Maine,2010,0.00324
Maine,2011,0.00328
Maine,2012,0.00333
Maine,2013,0.00335
Maine,2014,0.00291
Maine,2015,0.00285
Maine,2016,0.00287
Maine,2017,0.00328
Maine,2018,0.00307
Maine,2019,0.00368
Maine,2020,0.004
Maryland,1998,0.00261
Maryland,1999,0.00277
Maryland,2000,0.00292
Maryland,2001,0.00277
Maryland,2002,0.00281
Maryland,2003,0.00315
Maryland,2004,0.00328
Maryland,2005,0.00369
Maryland,2006,0.00323
Maryland,2007,0.0034
Maryland,2008,0.00264
Maryland,2009,0.00278
Maryland,2010,0.00253
Maryland,2011,0.00276
Maryland,2012,0.00263
Maryland,2013,0.0027
Maryland,2014,0.0024
Maryland,2015,0.0028
Maryland,2016,0.00262
Maryland,2017,0.00318
Maryland,2018,0.00273
Maryland,2019,0.00297
Maryland,2020,0.00256
Massachusetts,1998,0.00204
Massachusetts,1999,0.00173
Massachusetts,2000,0.0016
Massachusetts,2001,0.00144
Massachusetts,2002,0.00162
Massachusetts,2003,0.0018
Massachusetts,2004,0.0019
Massachusetts,2005,0.00214
Massachusetts,2006,0.00261
Massachusetts,2007,0.00285
Massachusetts,2008,0.00279
Massachusetts,2009,0.00275
Massachusetts,2010,0.00294
Massachusetts,2011,0.00307
Massachusetts,2012,0.00286
Massachusetts,2013,0.0026
Massachusetts,2014,0.0029
Massachusetts,2015,0.00291
Massachusetts,2016,0.00285
Massachusetts,2017,0.0026
Massachusetts,2018,0.00231
Massachusetts,2019,0.00245
Massachusetts,2020,0.00266
Michigan,1998,0.00237
Michigan,1999,0.00255
Michigan,2000,0.00242
Michigan,2001,0.00232
Michigan,2002,0.00235
Michigan,2003,0.00253
Michigan,2004,0.00243
Michigan,2005,0.0023
Michigan,2006,0.00199
Michigan,2007,0.00228
Michigan,2008,0.00249
Michigan,2009,0.00283
Michigan,2010,0.00275
Michigan,2011,0.00255
Michigan,2012,0.00217
Michigan,2013,0.00231
Michigan,2014,0.00257
Michigan,2015,0.0029
Michigan,2016,0.00258
Michigan,2017,0.00245
Michigan,2018,0.00228
Michigan,2019,0.00248
Michigan,2020,0.0029
Minnesota,1998,0.0031
Minnesota,1999,0.0031
Minnesota,2000,0.00283
Minnesota,2001,0.00216
Minnesota,2002,0.00239
Minnesota,2003,0.0026
Minnesota,2004,0.00295
Minnesota,2005,0.00288
Minnesota,2006,0.00298
Minnesota,2007,0.00299
Minnesota,2008,0.00275
Minnesota,2009,0.00254
Minnesota,2010,0.00223
Minnesota,2011,0.00219
Minnesota,2012,0.00195
Minnesota,2013,0.00178
Minnesota,2014,0.00174
Minnesota,2015,0.0025
Minnesota,2016,0.00282
Minnesota,2017,0.00302
Minnesota,2018,0.00204
Minnesota,2019,0.00182
Minnesota,2020,0.00181
Mississippi,1998,0.00285
Mississippi,1999,0.00308
Mississippi,2000,0.00379
Mississippi,2001,0.00361
Mississippi,2002,0.0031
Mississippi,2003,0.00244
Mississippi,2004,0.00258
Mississippi,2005,0.00338
Mississippi,2006,0.00427
Mississippi,2007,0.0041
Mississippi,2008,0.00392
Mississippi,2009,0.00288
Mississippi,2010,0.00329
Mississippi,2011,0.00289
Mississippi,2012,0.00374
Mississippi,2013,0.00309
Mississippi,2014,0.00337
Mississippi,2015,0.00325
Mississippi,2016,0.00368
Mississippi,2017,0.00367
Mississippi,2018,0.00318
Mississippi,2019,0.00325
Mississippi,2020,0.00315
Missouri,1998,0.00294
Missouri,1999,0.00239
Missouri,2000,0.00251
Missouri,2001,0.00213
Missouri,2002,0.00249
Missouri,2003,0.00249
Missouri,2004,0.00237
Missouri,2005,0.0022
Missouri,2006,0.00227
Missouri,2007,0.00238
Missouri,2008,0.00208
Missouri,2009,0.00222
Missouri,2010,0.00233
Missouri,2011,0.00322
Missouri,2012,0.00347
Missouri,2013,0.00321
Missouri,2014,0.00279
Missouri,2015,0.00287
Missouri,2016,0.00303
Missouri,2017,0.00323
Missouri,2018,0.00324
Missouri,2019,0.00373
Missouri,2020,0.0037
Montana,1998,0.00521
Montana,1999,0.00528
Montana,2000,0.00487
Montana,2001,0.00413
Montana,2002,0.00417
Montana,2003,0.00483
Montana,2004,0.00579
Montana,2005,0.00603
Montana,2006,0.00577
Montana,2007,0.0047
Montana,2008,0.00498
Montana,2009,0.00459
Montana,2010,0.00484
Montana,2011,0.00397
Montana,2012,0.00419
Montana,2013,0.0049
Montana,2014,0.00537
Montana,2015,0.00496
Montana,2016,0.00426
Montana,2017,0.00398
Montana,2018,0.00395
Montana,2019,0.00335
Montana,2020,0.00351
Nebraska,1998,0.00365
Nebraska,1999,0.00363
Nebraska,2000,0.00296
Nebraska,2001,0.00286
Nebraska,2002,0.00324
Nebraska,2003,0.00323
Nebraska,2004,0.00338
Nebraska,2005,0.00293
Nebraska,2006,0.00278
Nebraska,2007,0.00263
Nebraska,2008,0.00295
Nebraska,2009,0.00264
Nebraska,2010,0.00264
Nebraska,2011,0.00258
Nebraska,2012,0.00247
Nebraska,2013,0.00252
Nebraska,2014,0.00248
Nebraska,2015,0.00251
Nebraska,2016,0.00251
Nebraska,2017,0.00254
Nebraska,2018,0.00298
Nebraska,2019,0.00268
Nebraska,2020,0.0027
Nevada,1998,0.00356
Nevada,1999,0.00313
Nevada,2000,0.00236
Nevada,2001,0.00193
Nevada,2002,0.00222
Nevada,2003,0.0026
Nevada,2004,0.0027
Nevada,2005,0.00295
Nevada,2006,0.00315
Nevada,2007,0.00321
Nevada,2008,0.00328
Nevada,2009,0.00347
Nevada,2010,0.0042
Nevada,2011,0.00426
Nevada,2012,0.00432
Nevada,2013,0.00339
Nevada,2014,0.00374
Nevada,2015,0.00381
Nevada,2016,0.00407
Nevada,2017,0.00376
Nevada,2018,0.00337
Nevada,2019,0.00341
Nevada,2020,0.00316
New Hampshire,1998,0.00257
New Hampshire,1999,0.00231
New Hampshire,2000,0.00263
New Hampshire,2001,0.0024
New Hampshire,2002,0.00242
New Hampshire,2003,0.00256
New Hampshire,2004,0.00247
New Hampshire,2005,0.00238
New Hampshire,2006,0.00232
New Hampshire,2007,0.00261
New Hampshire,2008,0.0026
New Hampshire,2009,0.00274
New Hampshire,2010,0.00258
New Hampshire,2011,0.00268
New Hampshire,2012,0.00284
New Hampshire,2013,0.00267
New Hampshire,2014,0.0025
New Hampshire,2015,0.00243
New Hampshire,2016,0.00236
New Hampshire,2017,0.00239
New Hampshire,2018,0.00224
New Hampshire,2019,0.00278
New Hampshire,2020,0.0031
New Jersey,1998,0.00202
New Jersey,1999,0.00228
New Jersey,2000,0.00235
New Jersey,2001,0.00228
New Jersey,2002,0.00223
New Jersey,2003,0.00251
New Jersey,2004,0.00248
New Jersey,2005,0.00263
New Jersey,2006,0.00252
New Jersey,2007,0.00266
New Jersey,2008,0.00265
New Jersey,2009,0.00291
New Jersey,2010,0.00283
New Jersey,2011,0.00282
New Jersey,2012,0.00239
New Jersey,2013,0.0022
New Jersey,2014,0.0024
New Jersey,2015,0.00323
New Jersey,2016,0.00336
New Jersey,2017,0.00323
New Jersey,2018,0.00285
New Jersey,2019,0.00313
New Jersey,2020,0.00359
New Mexico,1998,0.00556
New Mexico,1999,0.00562
New Mexico,2000,0.00528
New Mexico,2001,0.00406
New Mexico,2002,0.00368
New Mexico,2003,0.00409
New Mexico,2004,0.00465
New Mexico,2005,0.00506
New Mexico,2006,0.00431
New Mexico,2007,0.00352
New Mexico,2008,0.00393
New Mexico,2009,0.00358
New Mexico,2010,0.00391
New Mexico,2011,0.00277
New Mexico,2012,0.00365
New Mexico,2013,0.00371
New Mexico,2014,0.00395
New Mexico,2015,0.00316
New Mexico,2016,0.0035
New Mexico,2017,0.00384
New Mexico,2018,0.00421
New Mexico,2019,0.00404
New Mexico,2020,0.00507
New York,1998,0.00273
New York,1999,0.00275
New York,2000,0.003
New York,2001,0.00284
New York,2002,0.00295
New York,2003,0.00267
New York,2004,0.00273
New York,2005,0.00258
New York,2006,0.00288
New York,2007,0.00317
New York,2008,0.00356
New York,2009,0.00357
New York,2010,0.00364
New York,2011,0.00359
New York,2012,0.00359
New York,2013,0.00335
New York,2014,0.00327
New York,2015,0.00351
New York,2016,0.00362
New York,2017,0.00333
New York,2018,0.00319
New York,2019,0.003
New York,2020,0.00393
North Carolina,1998,0.00291
North Carolina,1999,0.00278
North Carolina,2000,0.00297
North Carolina,2001,0.00287
North Carolina,2002,0.00312
North Carolina,2003,0.00309
North Carolina,2004,0.00302
North Carolina,2005,0.00246
North Carolina,2006,0.00227
North Carolina,2007,0.00249
North Carolina,2008,0.00265
North Carolina,2009,0.00271
North Carolina,2010,0.00286
North Carolina,2011,0.00293
North Carolina,2012,0.00297
North Carolina,2013,0.00285
North Carolina,2014,0.00309
North Carolina,2015,0.00333
North Carolina,2016,0.00342
North Carolina,2017,0.00284
North Carolina,2018,0.00266
North Carolina,2019,0.00254
North Carolina,2020,0.0031
North Dakota,1998,0.00465
North Dakota,1999,0.00407
North Dakota,2000,0.00378
North Dakota,2001,0.00334
North Dakota,2002,0.00299
North Dakota,2003,0.00284
North Dakota,2004,0.003
North Dakota,2005,0.00314
North Dakota,2006,0.00268
North Dakota,2007,0.0028
North Dakota,2008,0.00268
North Dakota,2009,0.00282
North Dakota,2010,0.00295
North Dakota,2011,0.00298
North Dakota,2012,0.00314
North Dakota,2013,0.00279
North Dakota,2014,0.0027
North Dakota,2015,0.00285
North Dakota,2016,0.00314
North Dakota,2017,0.00388
North Dakota,2018,0.00358
North Dakota,2019,0.00383
North Dakota,2020,0.00317
Ohio,1998,0.0026
Ohio,1999,0.00267
Ohio,2000,0.00236
Ohio,2001,0.00224
Ohio,2002,0.00191
Ohio,2003,0.00208
Ohio,2004,0.00226
Ohio,2005,0.00246
Ohio,2006,0.00244
Ohio,2007,0.00221
Ohio,2008,0.00198
Ohio,2009,0.00216
Ohio,2010,0.00252
Ohio,2011,0.0028
Ohio,2012,0.00254
Ohio,2013,0.00221
Ohio,2014,0.00211
Ohio,2015,0.00238
Ohio,2016,0.00235
Ohio,2017,0.00219
Ohio,2018,0.00195
Ohio,2019,0.00199
Ohio,2020,0.00251
Oklahoma,1998,0.0038
Oklahoma,1999,0.00331
Oklahoma,2000,0.00304
Oklahoma,2001,0.00268
Oklahoma,2002,0.00275
Oklahoma,2003,0.00319
Oklahoma,2004,0.00366
Oklahoma,2005,0.0041
Oklahoma,2006,0.00428
Oklahoma,2007,0.00406
Oklahoma,2008,0.00348
Oklahoma,2009,0.00373
Oklahoma,2010,0.0035
Oklahoma,2011,0.00332
Oklahoma,2012,0.00278
Oklahoma,2013,0.00274
Oklahoma,2014,0.00357
Oklahoma,2015,0.00401
Oklahoma,2016,0.00452
Oklahoma,2017,0.00413
Oklahoma,2018,0.00386
Oklahoma,2019,0.00393
Oklahoma,2020,0.00437
Oregon,1998,0.00429
Oregon,1999,0.00422
Oregon,2000,0.00434
Oregon,2001,0.0039
Oregon,2002,0.0034
Oregon,2003,0.00335
Oregon,2004,0.00327
Oregon,2005,0.00353
Oregon,2006,0.00346
Oregon,2007,0.00352
Oregon,2008,0.00365
Oregon,2009,0.0037
Oregon,2010,0.00358
Oregon,2011,0.00319
Oregon,2012,0.00266
Oregon,2013,0.00227
Oregon,2014,0.00273
Oregon,2015,0.00311
Oregon,2016,0.00337
Oregon,2017,0.0032
Oregon,2018,0.0027
Oregon,2019,0.00256
Oregon,2020,0.00294
Pennsylvania,1998,0.00167
Pennsylvania,1999,0.00153
Pennsylvania,2000,0.00151
Pennsylvania,2001,0.00167
Pennsylvania,2002,0.00161
Pennsylvania,2003,0.0018
Pennsylvania,2004,0.00174
Pennsylvania,2005,0.00189
Pennsylvania,2006,0.00179
Pennsylvania,2007,0.0017
Pennsylvania,2008,0.00157
Pennsylvania,2009,0.00159
Pennsylvania,2010,0.00171
Pennsylvania,2011,0.00181
Pennsylvania,2012,0.00181
Pennsylvania,2013,0.00187
Pennsylvania,2014,0.00197
Pennsylvania,2015,0.00177
Pennsylvania,2016,0.00169
Pennsylvania,2017,0.00177
Pennsylvania,2018,0.0019
Pennsylvania,2019,0.00204
Pennsylvania,2020,0.00183
Rhode Island,1998,0.00181
Rhode Island,1999,0.0016
Rhode Island,2000,0.00154
Rhode Island,2001,0.00135
Rhode Island,2002,0.00133
Rhode Island,2003,0.0016
Rhode Island,2004,0.00216
Rhode Island,2005,0.00247
Rhode Island,2006,0.0028
Rhode Island,2007,0.00241
Rhode Island,2008,0.00249
Rhode Island,2009,0.00228
Rhode Island,2010,0.00248
Rhode Island,2011,0.00239
Rhode Island,2012,0.00226
Rhode Island,2013,0.00186
Rhode Island,2014,0.00196
Rhode Island,2015,0.00226
Rhode Island,2016,0.00211
Rhode Island,2017,0.00176
Rhode Island,2018,0.00123
Rhode Island,2019,0.00171
Rhode Island,2020,0.00156
South Carolina,1998,0.0031
South Carolina,1999,0.00265
South Carolina,2000,0.00247
South Carolina,2001,0.0019
South Carolina,2002,0.00202
South Carolina,2003,0.00222
South Carolina,2004,0.00251
South Carolina,2005,0.00243
South Carolina,2006,0.00228
South Carolina,2007,0.0023
South Carolina,2008,0.00235
South Carolina,2009,0.00238
South Carolina,2010,0.00236
South Carolina,2011,0.00249
South Carolina,2012,0.00292
South Carolina,2013,0.00301
South Carolina,2014,0.00324
South Carolina,2015,0.00294
South Carolina,2016,0.00287
South Carolina,2017,0.00254
South Carolina,2018,0.00259
South Carolina,2019,0.00259
South Carolina,2020,0.00258
South Dakota,1998,0.00424
South Dakota,1999,0.00432
South Dakota,2000,0.00392
South Dakota,2001,0.00347
South Dakota,2002,0.00365
South Dakota,2003,0.00338
South Dakota,2004,0.00327
South Dakota,2005,0.00312
South Dakota,2006,0.00346
South Dakota,2007,0.00337
South Dakota,2008,0.00325
South Dakota,2009,0.00336
South Dakota,2010,0.00302
South Dakota,2011,0.00313
South Dakota,2012,0.00262
South Dakota,2013,0.00334
South Dakota,2014,0.0034
South Dakota,2015,0.00354
South Dakota,2016,0.00313
South Dakota,2017,0.00278
South Dakota,2018,0.00322
South Dakota,2019,0.00285
South Dakota,2020,0.00285
Tennessee,1998,0.00334
Tennessee,1999,0.00245
Tennessee,2000,0.00237
Tennessee,2001,0.00204
Tennessee,2002,0.00216
Tennessee,2003,0.00225
Tennessee,2004,0.0027
Tennessee,2005,0.00255
Tennessee,2006,0.00256
Tennessee,2007,0.00306
Tennessee,2008,0.00345
Tennessee,2009,0.00377
Tennessee,2010,0.00372
Tennessee,2011,0.00356
Tennessee,2012,0.00315
Tennessee,2013,0.00278
Tennessee,2014,0.00236
Tennessee,2015,0.00245
Tennessee,2016,0.00229
Tennessee,2017,0.00258
Tennessee,2018,0.00267
Tennessee,2019,0.00288
Tennessee,2020,0.00345
Texas,1998,0.00305
Texas,1999,0.00278
Texas,2000,0.0029
Texas,2001,0.00327
Texas,2002,0.00355
Texas,2003,0.0039
Texas,2004,0.00393
Texas,2005,0.00382
Texas,2006,0.00346
Texas,2007,0.00317
Texas,2008,0.00326
Texas,2009,0.00364
Texas,2010,0.00401
Texas,2011,0.00431
Texas,2012,0.004
Texas,2013,0.00374
Texas,2014,0.00364
Texas,2015,0.00385
Texas,2016,0.00403
Texas,2017,0.00424
Texas,2018,0.00427
Texas,2019,0.00407
Texas,2020,0.00383
Utah,1998,0.00323
Utah,1999,0.00303
Utah,2000,0.00324
Utah,2001,0.00295
Utah,2002,0.00307
Utah,2003,0.00284
Utah,2004,0.00299
Utah,2005,0.00329
Utah,2006,0.00331
Utah,2007,0.00351
Utah,2008,0.00325
Utah,2009,0.00347
Utah,2010,0.00346
Utah,2011,0.00338
Utah,2012,0.00325
Utah,2013,0.00311
Utah,2014,0.00301
Utah,2015,0.00275
Utah,2016,0.00282
Utah,2017,0.00296
Utah,2018,0.00288
Utah,2019,0.00245
Utah,2020,0.00236
Vermont,1998,0.00391
Vermont,1999,0.00409
Vermont,2000,0.00375
Vermont,2001,0.00355
Vermont,2002,0.00326
Vermont,2003,0.00302
Vermont,2004,0.00343
Vermont,2005,0.00418
Vermont,2006,0.00454
